Country;Subregion;Indicator;Dimension;Category;Sex;Age;Year;Unit of measurement;VALUE;Source;;
Ukraine;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;11;72870501;CTS/DMDB
Ukraine;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;4;210304364;CTS/DMDB
Ukraine;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;2;41616402;CTS/DMDB
Ukraine;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;86;38536454;CTS
Ukraine;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;0;364271806;CTS/DMDB
Switzerland;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;111;9375269;CTS
Switzerland;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;7;823884229;CTS
Switzerland;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;40;4791003;CTS
Switzerland;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;3;645684274;CTS
Sweden;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;746;2083121;CTS
Sweden;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;115;8870218;CTS
Sweden;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;25;14834017;CTS
Sweden;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;95;54367186;CTS
Slovenia;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;119;5341635;CTS
Slovenia;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;18;54060795;CTS
Slovenia;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;4;37136285;CTS
Slovenia;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;19;9977289;CTS
Slovenia;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;0;5024555;CTS
Slovakia;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;70;56373572;CTS
Slovakia;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;4;148629082;CTS
Slovakia;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;39;93055491;CTS
Russian Federation;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;39;87558385;CTS
Russian Federation;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;11;36932691;CTS
Russian Federation;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;6;141005098;CTS
Russian Federation;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;174;5085143;CTS
Russian Federation;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;0;77526025;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;42;64086989;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;4;416557875;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;14;30631077;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;1;260549572;CTS
Republic of Moldova;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;11;3004869;CTS
Republic of Moldova;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;7;125784736;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;398;3983842;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;16;24498158;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;3;227985758;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;201;423911;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;4;25941316;CTS
Poland;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;5;666732631;CTS
Poland;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;126;6577244;CTS
Poland;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;0;304691047;CTS
Norway;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;62;72005846;CTS
Norway;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;42;4513017;CTS
Norway;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;16;7147129;CTS
Norway;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;34;70915856;CTS
