Country_Name,Periods;Evaluation of trust in/Other people (score);Evaluation of trust in/Legal system (score);Evaluation of trust in/Police (score);Evaluation of trust in/Politicians  (score);Evaluation of trust in/Parliament (score);Evaluation of trust in/Political parties (score);Evaluation of trust in/European Parliament (score);Evaluation of trust in/United Nations (score);Percentage of people with trust in/Other people (%);Percentage of people with trust in/Legal system (%);Percentage of people with trust in/Police (%);Percentage of people with trust in/Politicians (%);Percentage of people with trust in/Parliament  (%);Percentage of people with trust in/Political parties (%);Percentage of people with trust in/European Parliament (%);Percentage of people with trust in/United Nations (%)
Belgium;2002;4,8;4,4;5,6;4,3;5;;4,9;5,1;40;36;57;31;43;;42;48
Belgium;2004;4,8;4,8;5,8;4,2;4,7;4,3;5;5,1;40;42;59;30;37;31;42;46
Belgium;2006;5;4,9;5,9;4,4;5;4,4;5,1;5,3;42;43;63;30;42;32;47;50
Belgium;2008;5,1;4,9;6;4;4,6;4;5,1;5,3;46;43;63;26;34;24;46;51
Belgium;2010;5;4,9;6;3,9;4,5;3,9;5;5,3;43;43;64;24;34;23;45;48
Belgium;2012;5,1;4,9;6,1;4,3;5;4,2;5,1;5,5;46;44;66;31;44;30;47;53
Belgium;2014;5;5;6;4,1;4,8;4,1;4,8;5,2;43;47;66;29;43;28;42;47
Belgium;2016;5,2;5,3;6,4;4,1;4,8;4;4,6;5,3;48;52;73;28;42;27;39;50
Belgium;2018;5,2;5,3;6,5;4,3;4,8;4,3;4,9;5,3;45;53;76;30;39;29;42;50
Bulgaria;2002;;;;;;;;;;;;;;;;
Bulgaria;2004;;;;;;;;;;;;;;;;
Bulgaria;2006;;;;;;;;;;;;;;;;
Bulgaria;2008;3,5;2,3;3,3;1,6;1,9;1,7;4,6;4,8;19;11;20;5;7;5;36;38
Bulgaria;2010;3,5;2,5;3,9;2;2,4;2;4,8;4,9;20;11;25;7;9;6;40;40
Bulgaria;2012;3,4;2,3;3,6;1,8;2,1;1,8;4,3;4,6;18;10;23;4;7;4;32;39
Bulgaria;2014;;;;;;;;;;;;;;;;
Bulgaria;2016;;;;;;;;;;;;;;;;
Bulgaria;2018;3,5;3;3,8;2,1;2,5;2,2;3,3;3,3;18;14;24;6;8;7;21;21
Cyprus;2002;;;;;;;;;;;;;;;;
Cyprus;2004;;;;;;;;;;;;;;;;
Cyprus;2006;;;;;;;;;;;;;;;;
Cyprus;2008;4,5;6,4;5,9;4,5;5,6;4,4;6;4,8;34;64;57;33;51;29;60;37
Cyprus;2010;3,8;5,6;5,5;3,6;4,6;3,5;5;4,4;23;53;51;19;33;18;43;32
Cyprus;2012;3,6;4,7;4,9;2,5;3,4;2,4;4,3;3,7;21;40;44;9;18;9;32;27
Cyprus;2014;;;;;;;;;;;;;;;;
Cyprus;2016;;;;;;;;;;;;;;;;
Cyprus;2018;3,7;4,4;5,3;2,7;3,6;2,7;4,7;4,7;23;31;50;10;18;10;35;37
Denmark;2002;7;7,1;7,9;5,5;6,2;;4,8;6,5;75;77;90;51;62;;40;70
Denmark;2004;6,8;7,2;7,9;5,6;6,3;5,6;4,8;6,6;72;78;90;52;64;52;38;71
Denmark;2006;7;7,5;7,8;5,6;6,4;4,8;4,8;5,4;77;83;89;55;67;54;41;70
Denmark;2008;6,9;7,3;7,6;5,6;6,5;5,7;5;6,5;75;80;86;53;68;55;42;70
Denmark;2010;6,8;7,4;7,7;5;5,8;5,2;5;6,2;76;82;88;42;56;43;40;65
Denmark;2012;7;7,7;8;5,2;6,1;5,3;5,2;6,6;78;86;90;47;63;48;45;72
Denmark;2014;6,9;7,4;7,7;4,9;5,9;5,1;4,8;6,3;76;83;87;43;60;46;40;66
Denmark;2016;;;;;;;;;;;;;;;;
Denmark;2018;7,1;7,7;8;5,2;6,2;5,3;5,2;6,5;80;86;91;48;64;49;48;70
Germany;2002;4,7;5,7;6,7;3,5;4,5;;4,5;5,2;34;55;73;16;32;;31;45
Germany;2004;4,8;5,5;6,5;3,2;4,2;3,2;4,2;4,9;38;53;69;14;29;12;28;41
Germany;2006;4,8;5,6;6,6;3,3;4,2;3,3;4,1;4,7;38;54;72;16;28;15;25;38
Germany;2008;4,9;5,8;6,8;3,5;4,7;3,5;4,3;5;41;56;74;16;34;14;28;40
Germany;2010;4,7;5,7;6,9;3,4;4,3;3,4;4;4,7;35;54;74;15;29;14;24;36
Germany;2012;5;6;6,9;3,8;4,9;3,8;4,4;5,1;41;60;77;20;39;18;32;42
Germany;2014;5,2;5,9;6,8;3,9;5,1;3,9;4,1;4,7;44;58;75;24;45;24;29;38
Germany;2016;5,4;6,2;7,1;4,2;5,3;4,2;4,4;4,9;49;64;79;28;49;27;32;40
Germany;2018;5,4;6,1;7,1;4;5,1;4;4,6;4,9;50;62;79;25;45;24;36;40
Estonia;2002;;;;;;;;;;;;;;;;
Estonia;2004;5,2;4,9;5,7;3,3;4,2;3,1;4,9;5,5;43;40;54;13;25;10;39;51
Estonia;2006;5,3;5,1;5,5;3,5;4,6;5,7;5;6,5;44;42;51;16;32;16;46;50
Estonia;2008;3,5;2,3;3,3;1,6;1,9;1,7;4,6;4,8;47;39;61;15;24;13;39;46
Estonia;2010;5,7;5,2;6,2;3,6;4,2;3,4;5,2;5,5;51;46;63;19;29;16;44;48
Estonia;2012;5,5;4,9;5,9;3,3;3,9;3,2;4,7;5,2;48;42;58;16;26;14;36;44
Estonia;2014;5,6;5,2;6,1;3,5;4,4;3,4;4,4;4,7;49;45;61;16;31;15;32;38
Estonia;2016;5;3,9;6,6;2,4;3,9;2,4;4,2;4,7;53;55;73;19;33;17;33;43
Estonia;2018;5,6;5,9;7;3,9;4,9;3,7;4,6;4,9;51;59;76;21;40;18;36;42
Finland;2002;6,5;6,8;8;4,8;5,8;;4,9;6,5;71;74;90;41;59;;41;71
