Country,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Score,,
Ukraine,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,11,,CTS/DMDB
Ukraine,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,4.210304364,CTS/DMDB
Ukraine,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,2.41616402,CTS/DMDB
Ukraine,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,86.38536454,CTS
Ukraine,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,0.364271806,CTS/DMDB
Switzerland,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,111,9375269,CTS
Switzerland,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,7,823884229,CTS
Switzerland,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,40,4791003,CTS
Switzerland,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,3,645684274,CTS
Sweden,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,746,2083121,CTS
Sweden,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,115,8870218,CTS
Sweden,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,25,14834017,CTS
Sweden,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,95,54367186,CTS
Slovenia,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,119,5341635,CTS
Slovenia,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,18,54060795,CTS
Slovenia,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,4,37136285,CTS
Slovenia,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,19,9977289,CTS
Slovenia,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,0,5024555,CTS
Slovakia,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,70,56373572,CTS
Slovakia,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,4,148629082,CTS
Slovakia,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,39,93055491,CTS
Russian Federation,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,39,87558385,CTS
Russian Federation,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,11,36932691,CTS
Russian Federation,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,6,141005098,CTS
Russian Federation,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,174,5085143,CTS
